Start Time: 9/10/2024 3:29:54 PM
RDT Sample Rate: 500
Force Units: N
Counts per Unit Force: 1000000
Torque Units: Nm
Counts per Unit Torque: 1000000
Status (hex), RDTSequence, F/T Sequence, Fx , Fy , Fz , Tx , Ty , Tz , Time 
0x0, 32995, 17289, -0.011719, -0.01313603, 0.2067022, -0.002161, -7.999968E-05, 0.0004430003, 15:31:09.078
0x0, 32996, 17290, -0.006223008, 0.01979303, 0.1953611, -0.001551, -0.0003519999, -0.0001620017, 15:31:09.087
0x0, 32997, 17291, -0.005809009, 0.006250978, 0.182085, -0.00147, -6.200001E-05, 5.700067E-05, 15:31:09.095
0x0, 32998, 17292, -0.009012997, -0.003924966, 0.1935673, -0.001202, -0.0003189994, -0.0003469996, 15:31:09.102
0x0, 32999, 17293, 0.012794, -0.004611969, 0.1937761, -0.0008680001, 3.800076E-05, 0.0002219975, 15:31:09.110
0x0, 33000, 17294, 0.01145199, -0.009884953, 0.194839, -0.001682, -0.0001039999, -0.0002220012, 15:31:09.118
0x0, 33001, 17295, 0.007991999, 0.007550001, 0.198307, -0.001617, -0.0004579993, 7.899851E-05, 15:31:09.126
0x0, 33002, 17296, 0.001858994, 0.01516998, 0.1879363, -0.002293, -0.0005159993, 0.000347998, 15:31:09.134
0x0, 33003, 17297, -0.008750007, 0.009112, 0.2059793, -0.001741, 0.0001290003, 0.0004849993, 15:31:09.142
0x0, 33004, 17298, 0.004775003, 0.002853036, 0.1833382, -0.001043, -0.0006149998, -0.0001359992, 15:31:09.150
0x0, 33005, 17299, 0.00079, -0.01519799, 0.1957202, -0.001066, 2.000481E-06, -0.0005370006, 15:31:09.158
0x0, 33006, 17300, 0.00434199, -0.004454017, 0.1981411, -0.001097, -0.0003379993, 0.000328999, 15:31:09.166
0x0, 33007, 17301, -0.009050012, 0.005511999, 0.1997933, -0.001703, -4.099961E-05, 0.0004929975, 15:31:09.175
0x0, 33008, 17302, -0.0005290061, 0.02593398, 0.188468, -0.001932, -6.699935E-05, 0.0008349977, 15:31:09.183
0x0, 33009, 17303, -0.01646301, 0.016819, 0.2002354, -0.001738, 2.000015E-05, 2.000481E-06, 15:31:09.190
0x0, 33010, 17304, -0.010069, 0.003098011, 0.190455, -0.001423, -0.000399, -3.699958E-05, 15:31:09.198
0x0, 33011, 17305, -0.007732004, -0.007300973, 0.198257, -0.001363, 2.000481E-06, 0.0003510006, 15:31:09.206
0x0, 33012, 17306, -0.01208301, 0.006867051, 0.1839514, -0.001141, 8.400064E-05, -0.0004670024, 15:31:09.215
0x0, 33013, 17307, 0.003651991, 0.01411903, 0.2039161, -0.001083, -0.0001229998, 0.0004799999, 15:31:09.223
0x0, 33014, 17308, -0.00524801, 0.005485058, 0.209558, -0.001686, -0.0001429999, 0.0002040006, 15:31:09.230
0x0, 33015, 17309, -0.00282301, -0.00602603, 0.1929603, -0.001876, -0.0004469994, 0.000680998, 15:31:09.238
0x0, 33016, 17310, -0.020825, -0.005879045, 0.210948, -0.001935, -0.0002969997, 0.000124, 15:31:09.246
0x0, 33017, 17311, -0.01185, 0.01551104, 0.1766591, -0.001075001, -0.0003689993, 0.0001639985, 15:31:09.255
0x0, 33018, 17312, 0.007683992, 0.004713058, 0.2052503, -0.001477, -0.0005409997, -0.0002910011, 15:31:09.262
